Title,Weight,Rating,Review and Rating,Speed,Warranty,Actual Price,Offer,Final Price After Discount
"Haier 9 kg Oxyi Dry Technology, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi A...",9 kg,4.3,"3,122 Ratings & 181 Reviews",1300,3,"₹19,000",36% off,"₹11,990"
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",7 kg,4.2,"79,640 Ratings & 7,217 Reviews",1400,2,"₹12,490",37% off,"₹7,790"
"realme TechLife 8.5 kg 5 Star rating Semi Automatic Top Load Washing Machine Grey, Black",8.5 kg,4.2,"79,640 Ratings & 7,217 Reviews",1400,2,"₹18,990",47% off,"₹9,890"
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",7.5 kg,4.2,"79,640 Ratings & 7,217 Reviews",1400,2,"₹13,990",40% off,"₹8,290"
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,7.5 kg,4.1,"26,801 Ratings & 2,551 Reviews",700,2,"₹19,990",40% off,"₹11,990"
"SAMSUNG 8 kg Semi Automatic Top Load Washing Machine Black, Grey",8 kg,4.4,"30,330 Ratings & 2,005 Reviews",1300,,"₹15,990",18% off,"₹12,990"
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹30,000",43% off,"₹16,990"
"MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine White, Maro...",6 kg,4.2,"25,816 Ratings & 2,354 Reviews",1350,2,"₹11,990",43% off,"₹6,790"
"realme TechLife 7 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Black, Gr...",7 kg,4.1,"14,293 Ratings & 1,572 Reviews",700,2,"₹21,990",48% off,"₹11,390"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
